Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 3372905 nodes, 48341 on tree, 6.6320296 best solution, best possible 0 (9018.21 seconds)
Cbc0010I After 3373242 nodes, 48342 on tree, 6.6320296 best solution, best possible 0 (9018.92 seconds)
Cbc0010I After 3373559 nodes, 48333 on tree, 6.6320296 best solution, best possible 0 (9019.62 seconds)
Cbc0010I After 3373839 nodes, 48320 on tree, 6.6320296 best solution, best possible 0 (9020.33 seconds)
Cbc0010I After 3374091 nodes, 48315 on tree, 6.6320296 best solution, best possible 0 (9021.03 seconds)
Cbc0010I After 3374376 nodes, 48309 on tree, 6.6320296 best solution, best possible 0 (9021.74 seconds)
Cbc0010I After 3374823 nodes, 48296 on tree, 6.6320296 best solution, best possible 0 (9022.44 seconds)
Cbc0010I After 3375134 nodes, 48294 on tree, 6.6320296 best solution, best possible 0 (9023.15 seconds)
Cbc0010I After 3375541 nodes, 48297 on tree, 6.6320296 best solution, best possible 0 (9023.85 seconds)
Cbc0010I After 3375931 nodes, 48272 on tree, 6.6320296 best solution, best possible 0 (9024.56 seconds)
Cbc0010I After 3376314 nodes, 48246 on tree, 6.6320296 best solution, best possible 0 (9025.27 seconds)
Cbc0010I After 3376598 nodes, 48233 on tree, 6.6320296 best solution, best possible 0 (9025.97 seconds)
Cbc0010I After 3377028 nodes, 48207 on tree, 6.6320296 best solution, best possible 0 (9026.67 seconds)
Cbc0010I After 3377909 nodes, 48204 on tree, 6.6320296 best solution, best possible 0 (9027.38 seconds)
Cbc0010I After 3378687 nodes, 48201 on tree, 6.6320296 best solution, best possible 0 (9028.08 seconds)
Cbc0010I After 3379573 nodes, 48203 on tree, 6.6320296 best solution, best possible 0 (9028.78 seconds)
Cbc0010I After 3380444 nodes, 48204 on tree, 6.6320296 best solution, best possible 0 (9029.49 seconds)
Cbc0010I After 3381380 nodes, 48204 on tree, 6.6320296 best solution, best possible 0 (9030.19 seconds)
Cbc0010I After 3382044 nodes, 48182 on tree, 6.6320296 best solution, best possible 0 (9030.90 seconds)
Cbc0010I After 3382513 nodes, 48163 on tree, 6.6320296 best solution, best possible 0 (9031.60 seconds)
Cbc0010I After 3382987 nodes, 48146 on tree, 6.6320296 best solution, best possible 0 (9032.30 seconds)
Cbc0010I After 3383399 nodes, 48132 on tree, 6.6320296 best solution, best possible 0 (9033.01 seconds)
Cbc0010I After 3383654 nodes, 48124 on tree, 6.6320296 best solution, best possible 0 (9033.71 seconds)
Cbc0010I After 3383879 nodes, 48127 on tree, 6.6320296 best solution, best possible 0 (9034.42 seconds)
Cbc0010I After 3384089 nodes, 48125 on tree, 6.6320296 best solution, best possible 0 (9035.12 seconds)
Cbc0010I After 3384400 nodes, 48118 on tree, 6.6320296 best solution, best possible 0 (9035.82 seconds)
Cbc0010I After 3384777 nodes, 48079 on tree, 6.6320296 best solution, best possible 0 (9036.53 seconds)
Cbc0010I After 3385015 nodes, 48081 on tree, 6.6320296 best solution, best possible 0 (9037.23 seconds)
Cbc0010I After 3385270 nodes, 48066 on tree, 6.6320296 best solution, best possible 0 (9037.94 seconds)
Cbc0010I After 3385639 nodes, 48016 on tree, 6.6320296 best solution, best possible 0 (9038.64 seconds)
Cbc0010I After 3386030 nodes, 48004 on tree, 6.6320296 best solution, best possible 0 (9039.35 seconds)
Cbc0010I After 3386254 nodes, 48019 on tree, 6.6320296 best solution, best possible 0 (9040.05 seconds)
Cbc0010I After 3386646 nodes, 48017 on tree, 6.6320296 best solution, best possible 0 (9040.76 seconds)
Cbc0010I After 3386978 nodes, 48027 on tree, 6.6320296 best solution, best possible 0 (9041.46 seconds)
Cbc0010I After 3387300 nodes, 48007 on tree, 6.6320296 best solution, best possible 0 (9042.17 seconds)
Cbc0010I After 3387669 nodes, 48004 on tree, 6.6320296 best solution, best possible 0 (9042.87 seconds)
Cbc0010I After 3388001 nodes, 47993 on tree, 6.6320296 best solution, best possible 0 (9043.57 seconds)
Cbc0010I After 3388542 nodes, 47999 on tree, 6.6320296 best solution, best possible 0 (9044.28 seconds)
Cbc0010I After 3388959 nodes, 47994 on tree, 6.6320296 best solution, best possible 0 (9044.98 seconds)
Cbc0010I After 3389084 nodes, 48022 on tree, 6.6320296 best solution, best possible 0 (9045.69 seconds)
Cbc0010I After 3389206 nodes, 48061 on tree, 6.6320296 best solution, best possible 0 (9046.39 seconds)
Cbc0010I After 3389314 nodes, 48097 on tree, 6.6320296 best solution, best possible 0 (9047.10 seconds)
Cbc0010I After 3389418 nodes, 48132 on tree, 6.6320296 best solution, best possible 0 (9047.81 seconds)
Cbc0010I After 3389560 nodes, 48189 on tree, 6.6320296 best solution, best possible 0 (9048.52 seconds)
Cbc0010I After 3389709 nodes, 48247 on tree, 6.6320296 best solution, best possible 0 (9049.22 seconds)
Cbc0010I After 3389904 nodes, 48293 on tree, 6.6320296 best solution, best possible 0 (9049.93 seconds)
Cbc0010I After 3390098 nodes, 48286 on tree, 6.6320296 best solution, best possible 0 (9050.63 seconds)
Cbc0010I After 3390434 nodes, 48267 on tree, 6.6320296 best solution, best possible 0 (9051.34 seconds)
Cbc0010I After 3390786 nodes, 48250 on tree, 6.6320296 best solution, best possible 0 (9052.04 seconds)
Cbc0010I After 3391105 nodes, 48254 on tree, 6.6320296 best solution, best possible 0 (9052.75 seconds)
Cbc0010I After 3391469 nodes, 48232 on tree, 6.6320296 best solution, best possible 0 (9053.45 seconds)
Cbc0010I After 3391853 nodes, 48215 on tree, 6.6320296 best solution, best possible 0 (9054.16 seconds)
Cbc0010I After 3392120 nodes, 48218 on tree, 6.6320296 best solution, best possible 0 (9054.86 seconds)
Cbc0010I After 3392398 nodes, 48221 on tree, 6.6320296 best solution, best possible 0 (9055.57 seconds)
Cbc0010I After 3392659 nodes, 48207 on tree, 6.6320296 best solution, best possible 0 (9056.27 seconds)
Cbc0010I After 3392927 nodes, 48185 on tree, 6.6320296 best solution, best possible 0 (9056.98 seconds)
Cbc0010I After 3393265 nodes, 48178 on tree, 6.6320296 best solution, best possible 0 (9057.69 seconds)
Cbc0010I After 3393667 nodes, 48181 on tree, 6.6320296 best solution, best possible 0 (9058.39 seconds)
Cbc0010I After 3393988 nodes, 48185 on tree, 6.6320296 best solution, best possible 0 (9059.10 seconds)
Cbc0010I After 3394371 nodes, 48178 on tree, 6.6320296 best solution, best possible 0 (9059.80 seconds)
Cbc0010I After 3394695 nodes, 48178 on tree, 6.6320296 best solution, best possible 0 (9060.51 seconds)
Cbc0010I After 3394973 nodes, 48183 on tree, 6.6320296 best solution, best possible 0 (9061.21 seconds)
Cbc0010I After 3395241 nodes, 48165 on tree, 6.6320296 best solution, best possible 0 (9061.91 seconds)
Cbc0010I After 3395712 nodes, 48141 on tree, 6.6320296 best solution, best possible 0 (9062.62 seconds)
Cbc0010I After 3396313 nodes, 48122 on tree, 6.6320296 best solution, best possible 0 (9063.32 seconds)
Cbc0010I After 3396677 nodes, 48098 on tree, 6.6320296 best solution, best possible 0 (9064.03 seconds)
Cbc0010I After 3397100 nodes, 48068 on tree, 6.6320296 best solution, best possible 0 (9064.73 seconds)
Cbc0010I After 3397719 nodes, 48070 on tree, 6.6320296 best solution, best possible 0 (9065.43 seconds)
Cbc0010I After 3398057 nodes, 48046 on tree, 6.6320296 best solution, best possible 0 (9066.14 seconds)
Cbc0010I After 3398384 nodes, 48031 on tree, 6.6320296 best solution, best possible 0 (9066.85 seconds)
Cbc0010I After 3398847 nodes, 47990 on tree, 6.6320296 best solution, best possible 0 (9067.56 seconds)
Cbc0010I After 3399112 nodes, 48008 on tree, 6.6320296 best solution, best possible 0 (9068.26 seconds)
Cbc0010I After 3399547 nodes, 48078 on tree, 6.6320296 best solution, best possible 0 (9068.97 seconds)
Cbc0010I After 3399890 nodes, 48142 on tree, 6.6320296 best solution, best possible 0 (9069.67 seconds)
Cbc0010I After 3400213 nodes, 48115 on tree, 6.6320296 best solution, best possible 0 (9070.37 seconds)
Cbc0010I After 3400509 nodes, 48091 on tree, 6.6320296 best solution, best possible 0 (9071.08 seconds)
Cbc0010I After 3400783 nodes, 48057 on tree, 6.6320296 best solution, best possible 0 (9071.78 seconds)
Cbc0010I After 3401108 nodes, 48038 on tree, 6.6320296 best solution, best possible 0 (9072.49 seconds)
Cbc0010I After 3401388 nodes, 48038 on tree, 6.6320296 best solution, best possible 0 (9073.19 seconds)
Cbc0010I After 3401670 nodes, 48021 on tree, 6.6320296 best solution, best possible 0 (9073.90 seconds)
Cbc0010I After 3401936 nodes, 48022 on tree, 6.6320296 best solution, best possible 0 (9074.60 seconds)
Cbc0010I After 3402332 nodes, 48039 on tree, 6.6320296 best solution, best possible 0 (9075.30 seconds)
Cbc0010I After 3402703 nodes, 48072 on tree, 6.6320296 best solution, best possible 0 (9076.01 seconds)
Cbc0010I After 3403011 nodes, 48109 on tree, 6.6320296 best solution, best possible 0 (9076.71 seconds)
Cbc0010I After 3403328 nodes, 48075 on tree, 6.6320296 best solution, best possible 0 (9077.42 seconds)
Cbc0010I After 3403658 nodes, 48045 on tree, 6.6320296 best solution, best possible 0 (9078.12 seconds)
Cbc0010I After 3403968 nodes, 48043 on tree, 6.6320296 best solution, best possible 0 (9078.83 seconds)
Cbc0010I After 3404237 nodes, 48041 on tree, 6.6320296 best solution, best possible 0 (9079.53 seconds)
Cbc0010I After 3404500 nodes, 48016 on tree, 6.6320296 best solution, best possible 0 (9080.24 seconds)
Cbc0010I After 3404790 nodes, 48009 on tree, 6.6320296 best solution, best possible 0 (9080.94 seconds)
Cbc0010I After 3405041 nodes, 48016 on tree, 6.6320296 best solution, best possible 0 (9081.65 seconds)
Cbc0010I After 3405159 nodes, 48013 on tree, 6.6320296 best solution, best possible 0 (9082.37 seconds)
Cbc0010I After 3405313 nodes, 48047 on tree, 6.6320296 best solution, best possible 0 (9083.07 seconds)
Cbc0010I After 3405466 nodes, 48067 on tree, 6.6320296 best solution, best possible 0 (9083.77 seconds)
Cbc0010I After 3405589 nodes, 48074 on tree, 6.6320296 best solution, best possible 0 (9084.48 seconds)
Cbc0010I After 3405732 nodes, 48075 on tree, 6.6320296 best solution, best possible 0 (9085.19 seconds)
Cbc0010I After 3405881 nodes, 48071 on tree, 6.6320296 best solution, best possible 0 (9085.90 seconds)
Cbc0010I After 3406082 nodes, 48065 on tree, 6.6320296 best solution, best possible 0 (9086.60 seconds)
Cbc0010I After 3406551 nodes, 48055 on tree, 6.6320296 best solution, best possible 0 (9087.31 seconds)
Cbc0010I After 3406994 nodes, 48052 on tree, 6.6320296 best solution, best possible 0 (9088.01 seconds)
Cbc0010I After 3407558 nodes, 48033 on tree, 6.6320296 best solution, best possible 0 (9088.72 seconds)
Cbc0010I After 3407922 nodes, 48024 on tree, 6.6320296 best solution, best possible 0 (9089.42 seconds)
Cbc0010I After 3408297 nodes, 48007 on tree, 6.6320296 best solution, best possible 0 (9090.13 seconds)
Cbc0010I After 3408690 nodes, 48006 on tree, 6.6320296 best solution, best possible 0 (9090.83 seconds)
Cbc0010I After 3408941 nodes, 48018 on tree, 6.6320296 best solution, best possible 0 (9091.53 seconds)
Cbc0010I After 3409074 nodes, 48034 on tree, 6.6320296 best solution, best possible 0 (9092.24 seconds)
Cbc0010I After 3409199 nodes, 48068 on tree, 6.6320296 best solution, best possible 0 (9092.94 seconds)
Cbc0010I After 3409351 nodes, 48114 on tree, 6.6320296 best solution, best possible 0 (9093.65 seconds)
Cbc0010I After 3409493 nodes, 48167 on tree, 6.6320296 best solution, best possible 0 (9094.35 seconds)
Cbc0010I After 3409659 nodes, 48238 on tree, 6.6320296 best solution, best possible 0 (9095.06 seconds)
Cbc0010I After 3409893 nodes, 48310 on tree, 6.6320296 best solution, best possible 0 (9095.77 seconds)
Cbc0010I After 3410172 nodes, 48341 on tree, 6.6320296 best solution, best possible 0 (9096.47 seconds)
Cbc0010I After 3410762 nodes, 48347 on tree, 6.6320296 best solution, best possible 0 (9097.18 seconds)
Cbc0010I After 3411337 nodes, 48339 on tree, 6.6320296 best solution, best possible 0 (9097.88 seconds)
Cbc0010I After 3411889 nodes, 48336 on tree, 6.6320296 best solution, best possible 0 (9098.58 seconds)
Cbc0010I After 3412440 nodes, 48337 on tree, 6.6320296 best solution, best possible 0 (9099.29 seconds)
Cbc0010I After 3412944 nodes, 48344 on tree, 6.6320296 best solution, best possible 0 (9099.99 seconds)
Cbc0010I After 3413406 nodes, 48341 on tree, 6.6320296 best solution, best possible 0 (9100.70 seconds)
Cbc0010I After 3413833 nodes, 48332 on tree, 6.6320296 best solution, best possible 0 (9101.40 seconds)
Cbc0010I After 3414246 nodes, 48329 on tree, 6.6320296 best solution, best possible 0 (9102.10 seconds)
Cbc0010I After 3414902 nodes, 48326 on tree, 6.6320296 best solution, best possible 0 (9102.81 seconds)
Cbc0010I After 3415353 nodes, 48327 on tree, 6.6320296 best solution, best possible 0 (9103.51 seconds)
Cbc0010I After 3415750 nodes, 48321 on tree, 6.6320296 best solution, best possible 0 (9104.22 seconds)
Cbc0010I After 3416236 nodes, 48325 on tree, 6.6320296 best solution, best possible 0 (9104.92 seconds)
Cbc0010I After 3416700 nodes, 48332 on tree, 6.6320296 best solution, best possible 0 (9105.63 seconds)
Cbc0010I After 3417157 nodes, 48317 on tree, 6.6320296 best solution, best possible 0 (9106.33 seconds)
Cbc0010I After 3417470 nodes, 48320 on tree, 6.6320296 best solution, best possible 0 (9107.03 seconds)
Cbc0010I After 3417909 nodes, 48311 on tree, 6.6320296 best solution, best possible 0 (9107.74 seconds)
Cbc0010I After 3418256 nodes, 48310 on tree, 6.6320296 best solution, best possible 0 (9108.44 seconds)
Cbc0010I After 3418645 nodes, 48291 on tree, 6.6320296 best solution, best possible 0 (9109.15 seconds)
Cbc0010I After 3418936 nodes, 48292 on tree, 6.6320296 best solution, best possible 0 (9109.85 seconds)
Cbc0010I After 3419369 nodes, 48294 on tree, 6.6320296 best solution, best possible 0 (9110.56 seconds)
Cbc0010I After 3419985 nodes, 48291 on tree, 6.6320296 best solution, best possible 0 (9111.26 seconds)
Cbc0010I After 3420506 nodes, 48299 on tree, 6.6320296 best solution, best possible 0 (9111.96 seconds)
Cbc0010I After 3420839 nodes, 48293 on tree, 6.6320296 best solution, best possible 0 (9112.67 seconds)
Cbc0010I After 3421096 nodes, 48291 on tree, 6.6320296 best solution, best possible 0 (9113.37 seconds)
Cbc0010I After 3421431 nodes, 48279 on tree, 6.6320296 best solution, best possible 0 (9114.08 seconds)
Cbc0010I After 3421786 nodes, 48263 on tree, 6.6320296 best solution, best possible 0 (9114.78 seconds)
Cbc0010I After 3422210 nodes, 48240 on tree, 6.6320296 best solution, best possible 0 (9115.49 seconds)
Cbc0010I After 3422318 nodes, 48246 on tree, 6.6320296 best solution, best possible 0 (9116.20 seconds)
Cbc0010I After 3422589 nodes, 48243 on tree, 6.6320296 best solution, best possible 0 (9116.90 seconds)
Cbc0010I After 3422904 nodes, 48241 on tree, 6.6320296 best solution, best possible 0 (9117.61 seconds)
Cbc0010I After 3423225 nodes, 48244 on tree, 6.6320296 best solution, best possible 0 (9118.31 seconds)
Cbc0010I After 3423722 nodes, 48246 on tree, 6.6320296 best solution, best possible 0 (9119.02 seconds)
Cbc0010I After 3423972 nodes, 48215 on tree, 6.6320296 best solution, best possible 0 (9119.72 seconds)
Cbc0010I After 3424263 nodes, 48195 on tree, 6.6320296 best solution, best possible 0 (9120.43 seconds)
Cbc0010I After 3424476 nodes, 48195 on tree, 6.6320296 best solution, best possible 0 (9121.13 seconds)
Cbc0010I After 3424771 nodes, 48199 on tree, 6.6320296 best solution, best possible 0 (9121.84 seconds)
Cbc0010I After 3425109 nodes, 48192 on tree, 6.6320296 best solution, best possible 0 (9122.54 seconds)
Cbc0010I After 3425312 nodes, 48197 on tree, 6.6320296 best solution, best possible 0 (9123.24 seconds)
Cbc0010I After 3425609 nodes, 48179 on tree, 6.6320296 best solution, best possible 0 (9123.95 seconds)
Cbc0010I After 3425890 nodes, 48155 on tree, 6.6320296 best solution, best possible 0 (9124.65 seconds)
Cbc0010I After 3426255 nodes, 48127 on tree, 6.6320296 best solution, best possible 0 (9125.36 seconds)
Cbc0010I After 3426593 nodes, 48109 on tree, 6.6320296 best solution, best possible 0 (9126.06 seconds)
Cbc0010I After 3426977 nodes, 48064 on tree, 6.6320296 best solution, best possible 0 (9126.77 seconds)
Cbc0010I After 3427347 nodes, 47982 on tree, 6.6320296 best solution, best possible 0 (9127.47 seconds)
Cbc0010I After 3427718 nodes, 47949 on tree, 6.6320296 best solution, best possible 0 (9128.18 seconds)
Cbc0010I After 3428094 nodes, 47957 on tree, 6.6320296 best solution, best possible 0 (9128.88 seconds)
Cbc0010I After 3428413 nodes, 47984 on tree, 6.6320296 best solution, best possible 0 (9129.59 seconds)
Cbc0010I After 3428782 nodes, 48045 on tree, 6.6320296 best solution, best possible 0 (9130.29 seconds)
Cbc0010I After 3429136 nodes, 48032 on tree, 6.6320296 best solution, best possible 0 (9131.00 seconds)
Cbc0010I After 3429470 nodes, 47999 on tree, 6.6320296 best solution, best possible 0 (9131.70 seconds)
Cbc0010I After 3429808 nodes, 47970 on tree, 6.6320296 best solution, best possible 0 (9132.41 seconds)
Cbc0010I After 3430161 nodes, 47989 on tree, 6.6320296 best solution, best possible 0 (9133.11 seconds)
Cbc0010I After 3430573 nodes, 48003 on tree, 6.6320296 best solution, best possible 0 (9133.81 seconds)
Cbc0010I After 3430965 nodes, 48006 on tree, 6.6320296 best solution, best possible 0 (9134.52 seconds)
Cbc0010I After 3431428 nodes, 47990 on tree, 6.6320296 best solution, best possible 0 (9135.22 seconds)
Cbc0010I After 3431884 nodes, 47999 on tree, 6.6320296 best solution, best possible 0 (9135.93 seconds)
Cbc0010I After 3432240 nodes, 47994 on tree, 6.6320296 best solution, best possible 0 (9136.63 seconds)
Cbc0010I After 3432610 nodes, 47969 on tree, 6.6320296 best solution, best possible 0 (9137.33 seconds)
Cbc0010I After 3432951 nodes, 47982 on tree, 6.6320296 best solution, best possible 0 (9138.04 seconds)
Cbc0010I After 3433108 nodes, 48030 on tree, 6.6320296 best solution, best possible 0 (9138.74 seconds)
Cbc0010I After 3433309 nodes, 48075 on tree, 6.6320296 best solution, best possible 0 (9139.45 seconds)
Cbc0010I After 3433469 nodes, 48121 on tree, 6.6320296 best solution, best possible 0 (9140.15 seconds)
Cbc0010I After 3433616 nodes, 48161 on tree, 6.6320296 best solution, best possible 0 (9140.86 seconds)
Cbc0010I After 3433755 nodes, 48197 on tree, 6.6320296 best solution, best possible 0 (9141.57 seconds)
Cbc0010I After 3433880 nodes, 48248 on tree, 6.6320296 best solution, best possible 0 (9142.28 seconds)
Cbc0010I After 3433994 nodes, 48287 on tree, 6.6320296 best solution, best possible 0 (9142.98 seconds)
Cbc0010I After 3434391 nodes, 48233 on tree, 6.6320296 best solution, best possible 0 (9143.69 seconds)
Cbc0010I After 3434927 nodes, 48200 on tree, 6.6320296 best solution, best possible 0 (9144.39 seconds)
Cbc0010I After 3435408 nodes, 48176 on tree, 6.6320296 best solution, best possible 0 (9145.10 seconds)
Cbc0010I After 3435800 nodes, 48175 on tree, 6.6320296 best solution, best possible 0 (9145.80 seconds)
Cbc0010I After 3436139 nodes, 48143 on tree, 6.6320296 best solution, best possible 0 (9146.50 seconds)
Cbc0010I After 3436463 nodes, 48105 on tree, 6.6320296 best solution, best possible 0 (9147.21 seconds)
Cbc0010I After 3436791 nodes, 48099 on tree, 6.6320296 best solution, best possible 0 (9147.92 seconds)
Cbc0010I After 3437288 nodes, 48103 on tree, 6.6320296 best solution, best possible 0 (9148.62 seconds)
Cbc0010I After 3437789 nodes, 48110 on tree, 6.6320296 best solution, best possible 0 (9149.32 seconds)
Cbc0010I After 3438322 nodes, 48098 on tree, 6.6320296 best solution, best possible 0 (9150.03 seconds)
Cbc0010I After 3438703 nodes, 48090 on tree, 6.6320296 best solution, best possible 0 (9150.73 seconds)
Cbc0010I After 3439154 nodes, 48069 on tree, 6.6320296 best solution, best possible 0 (9151.44 seconds)
Cbc0010I After 3439530 nodes, 48072 on tree, 6.6320296 best solution, best possible 0 (9152.14 seconds)
Cbc0010I After 3440054 nodes, 48063 on tree, 6.6320296 best solution, best possible 0 (9152.84 seconds)
Cbc0010I After 3440453 nodes, 48075 on tree, 6.6320296 best solution, best possible 0 (9153.55 seconds)
Cbc0010I After 3440861 nodes, 48074 on tree, 6.6320296 best solution, best possible 0 (9154.25 seconds)
Cbc0010I After 3441275 nodes, 48071 on tree, 6.6320296 best solution, best possible 0 (9154.96 seconds)
Cbc0010I After 3441635 nodes, 48063 on tree, 6.6320296 best solution, best possible 0 (9155.67 seconds)
Cbc0010I After 3441963 nodes, 48032 on tree, 6.6320296 best solution, best possible 0 (9156.37 seconds)
Cbc0010I After 3442130 nodes, 48038 on tree, 6.6320296 best solution, best possible 0 (9157.08 seconds)
Cbc0010I After 3442318 nodes, 48035 on tree, 6.6320296 best solution, best possible 0 (9157.79 seconds)
Cbc0010I After 3442529 nodes, 48038 on tree, 6.6320296 best solution, best possible 0 (9158.49 seconds)
Cbc0010I After 3442825 nodes, 48028 on tree, 6.6320296 best solution, best possible 0 (9159.20 seconds)
Cbc0010I After 3443299 nodes, 48026 on tree, 6.6320296 best solution, best possible 0 (9159.90 seconds)
Cbc0010I After 3443689 nodes, 48041 on tree, 6.6320296 best solution, best possible 0 (9160.60 seconds)
Cbc0010I After 3444057 nodes, 48034 on tree, 6.6320296 best solution, best possible 0 (9161.31 seconds)
Cbc0010I After 3444351 nodes, 48028 on tree, 6.6320296 best solution, best possible 0 (9162.01 seconds)
Cbc0010I After 3444905 nodes, 48032 on tree, 6.6320296 best solution, best possible 0 (9162.71 seconds)
Cbc0010I After 3445369 nodes, 48027 on tree, 6.6320296 best solution, best possible 0 (9163.42 seconds)
Cbc0010I After 3445663 nodes, 48034 on tree, 6.6320296 best solution, best possible 0 (9164.13 seconds)
Cbc0010I After 3445846 nodes, 48030 on tree, 6.6320296 best solution, best possible 0 (9164.84 seconds)
Cbc0010I After 3446083 nodes, 48037 on tree, 6.6320296 best solution, best possible 0 (9165.54 seconds)
Cbc0010I After 3446284 nodes, 48035 on tree, 6.6320296 best solution, best possible 0 (9166.25 seconds)
Cbc0010I After 3446473 nodes, 48028 on tree, 6.6320296 best solution, best possible 0 (9166.96 seconds)
Cbc0010I After 3446694 nodes, 48028 on tree, 6.6320296 best solution, best possible 0 (9167.68 seconds)
Cbc0010I After 3446943 nodes, 48028 on tree, 6.6320296 best solution, best possible 0 (9168.38 seconds)
Cbc0010I After 3447182 nodes, 48033 on tree, 6.6320296 best solution, best possible 0 (9169.09 seconds)
Cbc0010I After 3447370 nodes, 48030 on tree, 6.6320296 best solution, best possible 0 (9169.80 seconds)
Cbc0010I After 3447632 nodes, 48033 on tree, 6.6320296 best solution, best possible 0 (9170.50 seconds)
Cbc0010I After 3447818 nodes, 48025 on tree, 6.6320296 best solution, best possible 0 (9171.22 seconds)
Cbc0010I After 3447982 nodes, 48037 on tree, 6.6320296 best solution, best possible 0 (9171.93 seconds)
Cbc0010I After 3448140 nodes, 48032 on tree, 6.6320296 best solution, best possible 0 (9172.63 seconds)
Cbc0010I After 3448290 nodes, 48026 on tree, 6.6320296 best solution, best possible 0 (9173.34 seconds)
Cbc0010I After 3448519 nodes, 48036 on tree, 6.6320296 best solution, best possible 0 (9174.04 seconds)
Cbc0010I After 3449011 nodes, 48039 on tree, 6.6320296 best solution, best possible 0 (9174.75 seconds)
Cbc0010I After 3449413 nodes, 48044 on tree, 6.6320296 best solution, best possible 0 (9175.46 seconds)
Cbc0010I After 3449801 nodes, 48036 on tree, 6.6320296 best solution, best possible 0 (9176.16 seconds)
Cbc0010I After 3450333 nodes, 48026 on tree, 6.6320296 best solution, best possible 0 (9176.87 seconds)
Cbc0010I After 3450717 nodes, 48025 on tree, 6.6320296 best solution, best possible 0 (9177.57 seconds)
