Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/liu.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/liu.txt -quit (default strategy 1)
At line 1 NAME           liu
At line 2 ROWS
At line 2182 COLUMNS
At line 7600 RHS
At line 8690 BOUNDS
At line 9780 ENDATA
Problem liu has 2178 rows, 1156 columns and 10626 elements
Coin0008I liu read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 346 - 0.13959 seconds
Cgl0004I processed model has 2178 rows, 1154 columns (1087 integer (1087 of which binary)) and 10626 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.041%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 371 integers unsatisfied sum - 6.88631
Cbc0038I Pass   1: suminf.    0.00000 (0) obj. 4720 iterations 421
Cbc0038I Solution found of 4720
Cbc0038I Relaxing continuous gives 4720
Cbc0038I Before mini branch and bound, 716 integers at bound fixed and 34 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 666 rows 203 columns
Cbc0038I Mini branch and bound improved solution from 4720 to 4292 (1.86 seconds)
Cbc0038I Freeing continuous variables gives a solution of 4292
Cbc0038I Round again with cutoff of 3897.4
Cbc0038I Pass   2: suminf.    0.09795 (8) obj. 3897.4 iterations 9
Cbc0038I Pass   3: suminf.    0.02746 (3) obj. 3897.4 iterations 24
Cbc0038I Pass   4: suminf.    0.00412 (2) obj. 3897.4 iterations 9
Cbc0038I Pass   5: suminf.    0.01007 (2) obj. 3897.4 iterations 2
Cbc0038I Pass   6: suminf.    5.65254 (226) obj. 3897.4 iterations 642
Cbc0038I Pass   7: suminf.    4.72565 (202) obj. 3897.4 iterations 83
Cbc0038I Pass   8: suminf.    4.28459 (186) obj. 3897.4 iterations 90
Cbc0038I Pass   9: suminf.    3.24101 (155) obj. 3897.4 iterations 93
Cbc0038I Pass  10: suminf.    2.78709 (125) obj. 3897.4 iterations 121
Cbc0038I Pass  11: suminf.    2.09216 (78) obj. 3897.4 iterations 132
Cbc0038I Pass  12: suminf.    1.85163 (66) obj. 3897.4 iterations 65
Cbc0038I Pass  13: suminf.    1.74708 (65) obj. 3897.4 iterations 120
Cbc0038I Pass  14: suminf.    1.70683 (41) obj. 3897.4 iterations 95
Cbc0038I Pass  15: suminf.    1.78042 (57) obj. 3897.4 iterations 98
Cbc0038I Pass  16: suminf.    1.16933 (32) obj. 3897.4 iterations 98
Cbc0038I Pass  17: suminf.    1.65492 (58) obj. 3897.4 iterations 82
Cbc0038I Pass  18: suminf.    1.13813 (25) obj. 3897.4 iterations 95
Cbc0038I Pass  19: suminf.    1.39819 (44) obj. 3897.4 iterations 79
Cbc0038I Pass  20: suminf.    1.11979 (28) obj. 3897.4 iterations 79
Cbc0038I Pass  21: suminf.    0.97023 (32) obj. 3897.4 iterations 70
Cbc0038I Pass  22: suminf.    1.01095 (25) obj. 3897.4 iterations 62
Cbc0038I Pass  23: suminf.    1.03477 (27) obj. 3897.4 iterations 47
Cbc0038I Pass  24: suminf.    0.86068 (19) obj. 3897.4 iterations 53
Cbc0038I Pass  25: suminf.    0.68373 (21) obj. 3897.4 iterations 46
Cbc0038I Pass  26: suminf.    1.02953 (25) obj. 3897.4 iterations 60
Cbc0038I Pass  27: suminf.    0.72493 (17) obj. 3897.4 iterations 47
Cbc0038I Pass  28: suminf.    0.74137 (14) obj. 3897.4 iterations 36
Cbc0038I Pass  29: suminf.    0.62181 (11) obj. 3897.4 iterations 34
Cbc0038I Pass  30: suminf.    0.71469 (14) obj. 3897.4 iterations 29
Cbc0038I Pass  31: suminf.    0.61396 (15) obj. 3897.4 iterations 37
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 445 integers at bound fixed and 0 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 709 columns - 6 fixed gives 2178, 703 - still too large
Cbc0038I Mini branch and bound did not improve solution (2.52 seconds)
Cbc0038I After 2.52 seconds - Feasibility pump exiting with objective of 4292 - took 1.31 seconds
Cbc0012I Integer solution of 4292 found by feasibility pump after 0 iterations and 0 nodes (2.53 seconds)
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 438 columns - 5 fixed gives 2178, 433 - still too large
Cbc0031I 311 added rows had average density of 5.8938907
Cbc0013I At root node, 311 cuts changed objective from 346 to 560 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 445 row cuts average 5.1 elements, 0 column cuts (231 active)  in 0.049 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 437 row cuts average 8.0 elements, 0 column cuts (0 active)  in 0.384 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.043 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 793 row cuts average 3.5 elements, 0 column cuts (0 active)  in 0.124 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.055 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 626 row cuts average 5.2 elements, 0 column cuts (0 active)  in 0.433 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 4292 best solution, best possible 560 (6.20 seconds)
Cbc0010I After 199810 nodes, 21450 on tree, 1590 best solution, best possible 560 (7573.95 seconds)
Cbc0010I After 199845 nodes, 21449 on tree, 1590 best solution, best possible 560 (7574.66 seconds)
Cbc0010I After 199883 nodes, 21453 on tree, 1590 best solution, best possible 560 (7575.37 seconds)
Cbc0010I After 199922 nodes, 21458 on tree, 1590 best solution, best possible 560 (7576.09 seconds)
Cbc0010I After 199963 nodes, 21456 on tree, 1590 best solution, best possible 560 (7576.80 seconds)
Cbc0010I After 200005 nodes, 21457 on tree, 1590 best solution, best possible 560 (7577.51 seconds)
Cbc0010I After 200042 nodes, 21456 on tree, 1590 best solution, best possible 560 (7578.23 seconds)
Cbc0010I After 200081 nodes, 21461 on tree, 1590 best solution, best possible 560 (7578.95 seconds)
Cbc0010I After 200119 nodes, 21460 on tree, 1590 best solution, best possible 560 (7579.66 seconds)
Cbc0010I After 200156 nodes, 21462 on tree, 1590 best solution, best possible 560 (7580.37 seconds)
Cbc0010I After 200191 nodes, 21460 on tree, 1590 best solution, best possible 560 (7581.07 seconds)
Cbc0010I After 200225 nodes, 21458 on tree, 1590 best solution, best possible 560 (7581.78 seconds)
Cbc0010I After 200265 nodes, 21457 on tree, 1590 best solution, best possible 560 (7582.48 seconds)
Cbc0010I After 200303 nodes, 21457 on tree, 1590 best solution, best possible 560 (7583.20 seconds)
Cbc0010I After 200341 nodes, 21449 on tree, 1590 best solution, best possible 560 (7583.90 seconds)
Cbc0010I After 200379 nodes, 21456 on tree, 1590 best solution, best possible 560 (7584.62 seconds)
Cbc0010I After 200411 nodes, 21456 on tree, 1590 best solution, best possible 560 (7585.33 seconds)
Cbc0010I After 200443 nodes, 21453 on tree, 1590 best solution, best possible 560 (7586.05 seconds)
Cbc0010I After 200476 nodes, 21453 on tree, 1590 best solution, best possible 560 (7586.78 seconds)
Cbc0010I After 200507 nodes, 21457 on tree, 1590 best solution, best possible 560 (7587.51 seconds)
Cbc0010I After 200537 nodes, 21455 on tree, 1590 best solution, best possible 560 (7588.23 seconds)
Cbc0010I After 200567 nodes, 21455 on tree, 1590 best solution, best possible 560 (7588.94 seconds)
Cbc0010I After 200598 nodes, 21456 on tree, 1590 best solution, best possible 560 (7589.65 seconds)
Cbc0010I After 200629 nodes, 21457 on tree, 1590 best solution, best possible 560 (7590.36 seconds)
Cbc0010I After 200659 nodes, 21456 on tree, 1590 best solution, best possible 560 (7591.07 seconds)
Cbc0010I After 200691 nodes, 21456 on tree, 1590 best solution, best possible 560 (7591.79 seconds)
Cbc0010I After 200720 nodes, 21456 on tree, 1590 best solution, best possible 560 (7592.49 seconds)
Cbc0010I After 200749 nodes, 21455 on tree, 1590 best solution, best possible 560 (7593.21 seconds)
Cbc0010I After 200780 nodes, 21454 on tree, 1590 best solution, best possible 560 (7593.94 seconds)
Cbc0010I After 200809 nodes, 21454 on tree, 1590 best solution, best possible 560 (7594.65 seconds)
Cbc0010I After 200840 nodes, 21454 on tree, 1590 best solution, best possible 560 (7595.36 seconds)
Cbc0010I After 200870 nodes, 21454 on tree, 1590 best solution, best possible 560 (7596.08 seconds)
Cbc0010I After 200904 nodes, 21455 on tree, 1590 best solution, best possible 560 (7596.81 seconds)
Cbc0010I After 200936 nodes, 21455 on tree, 1590 best solution, best possible 560 (7597.51 seconds)
Cbc0010I After 200968 nodes, 21455 on tree, 1590 best solution, best possible 560 (7598.23 seconds)
Cbc0010I After 201001 nodes, 21456 on tree, 1590 best solution, best possible 560 (7598.94 seconds)
Cbc0010I After 201032 nodes, 21456 on tree, 1590 best solution, best possible 560 (7599.67 seconds)
Cbc0010I After 201062 nodes, 21456 on tree, 1590 best solution, best possible 560 (7600.37 seconds)
Cbc0010I After 201093 nodes, 21455 on tree, 1590 best solution, best possible 560 (7601.09 seconds)
Cbc0010I After 201124 nodes, 21454 on tree, 1590 best solution, best possible 560 (7601.80 seconds)
Cbc0010I After 201154 nodes, 21453 on tree, 1590 best solution, best possible 560 (7602.51 seconds)
Cbc0010I After 201183 nodes, 21453 on tree, 1590 best solution, best possible 560 (7603.22 seconds)
Cbc0010I After 201215 nodes, 21454 on tree, 1590 best solution, best possible 560 (7603.93 seconds)
Cbc0010I After 201247 nodes, 21454 on tree, 1590 best solution, best possible 560 (7604.65 seconds)
Cbc0010I After 201278 nodes, 21453 on tree, 1590 best solution, best possible 560 (7605.38 seconds)
Cbc0010I After 201311 nodes, 21456 on tree, 1590 best solution, best possible 560 (7606.09 seconds)
Cbc0010I After 201344 nodes, 21457 on tree, 1590 best solution, best possible 560 (7606.80 seconds)
Cbc0010I After 201375 nodes, 21453 on tree, 1590 best solution, best possible 560 (7607.52 seconds)
Cbc0010I After 201408 nodes, 21447 on tree, 1590 best solution, best possible 560 (7608.23 seconds)
Cbc0010I After 201441 nodes, 21460 on tree, 1590 best solution, best possible 560 (7608.94 seconds)
Cbc0010I After 201472 nodes, 21462 on tree, 1590 best solution, best possible 560 (7609.64 seconds)
Cbc0010I After 201502 nodes, 21462 on tree, 1590 best solution, best possible 560 (7610.36 seconds)
Cbc0010I After 201532 nodes, 21459 on tree, 1590 best solution, best possible 560 (7611.07 seconds)
Cbc0010I After 201567 nodes, 21463 on tree, 1590 best solution, best possible 560 (7611.79 seconds)
Cbc0010I After 201602 nodes, 21462 on tree, 1590 best solution, best possible 560 (7612.50 seconds)
Cbc0010I After 201634 nodes, 21458 on tree, 1590 best solution, best possible 560 (7613.20 seconds)
Cbc0010I After 201663 nodes, 21459 on tree, 1590 best solution, best possible 560 (7613.90 seconds)
Cbc0010I After 201694 nodes, 21458 on tree, 1590 best solution, best possible 560 (7614.62 seconds)
Cbc0010I After 201725 nodes, 21461 on tree, 1590 best solution, best possible 560 (7615.33 seconds)
Cbc0010I After 201760 nodes, 21459 on tree, 1590 best solution, best possible 560 (7616.03 seconds)
Cbc0010I After 201796 nodes, 21460 on tree, 1590 best solution, best possible 560 (7616.74 seconds)
Cbc0010I After 201827 nodes, 21460 on tree, 1590 best solution, best possible 560 (7617.45 seconds)
Cbc0010I After 201863 nodes, 21461 on tree, 1590 best solution, best possible 560 (7618.16 seconds)
Cbc0010I After 201897 nodes, 21457 on tree, 1590 best solution, best possible 560 (7618.87 seconds)
Cbc0010I After 201929 nodes, 21454 on tree, 1590 best solution, best possible 560 (7619.57 seconds)
Cbc0010I After 201961 nodes, 21453 on tree, 1590 best solution, best possible 560 (7620.28 seconds)
Cbc0010I After 201992 nodes, 21454 on tree, 1590 best solution, best possible 560 (7620.99 seconds)
Cbc0010I After 202028 nodes, 21459 on tree, 1590 best solution, best possible 560 (7621.70 seconds)
Cbc0010I After 202067 nodes, 21461 on tree, 1590 best solution, best possible 560 (7622.43 seconds)
Cbc0010I After 202104 nodes, 21453 on tree, 1590 best solution, best possible 560 (7623.14 seconds)
Cbc0010I After 202136 nodes, 21459 on tree, 1590 best solution, best possible 560 (7623.85 seconds)
Cbc0010I After 202170 nodes, 21453 on tree, 1590 best solution, best possible 560 (7624.56 seconds)
Cbc0010I After 202203 nodes, 21453 on tree, 1590 best solution, best possible 560 (7625.26 seconds)
Cbc0010I After 202230 nodes, 21452 on tree, 1590 best solution, best possible 560 (7625.98 seconds)
Cbc0010I After 202259 nodes, 21455 on tree, 1590 best solution, best possible 560 (7626.71 seconds)
Cbc0010I After 202288 nodes, 21455 on tree, 1590 best solution, best possible 560 (7627.43 seconds)
Cbc0010I After 202317 nodes, 21449 on tree, 1590 best solution, best possible 560 (7628.15 seconds)
Cbc0010I After 202349 nodes, 21453 on tree, 1590 best solution, best possible 560 (7628.86 seconds)
Cbc0010I After 202377 nodes, 21456 on tree, 1590 best solution, best possible 560 (7629.58 seconds)
Cbc0010I After 202407 nodes, 21456 on tree, 1590 best solution, best possible 560 (7630.32 seconds)
Cbc0010I After 202432 nodes, 21458 on tree, 1590 best solution, best possible 560 (7631.02 seconds)
Cbc0010I After 202459 nodes, 21457 on tree, 1590 best solution, best possible 560 (7631.74 seconds)
Cbc0010I After 202487 nodes, 21457 on tree, 1590 best solution, best possible 560 (7632.46 seconds)
Cbc0010I After 202516 nodes, 21458 on tree, 1590 best solution, best possible 560 (7633.19 seconds)
Cbc0010I After 202543 nodes, 21455 on tree, 1590 best solution, best possible 560 (7633.92 seconds)
Cbc0010I After 202570 nodes, 21455 on tree, 1590 best solution, best possible 560 (7634.63 seconds)
Cbc0010I After 202600 nodes, 21457 on tree, 1590 best solution, best possible 560 (7635.33 seconds)
Cbc0010I After 202632 nodes, 21457 on tree, 1590 best solution, best possible 560 (7636.03 seconds)
Cbc0010I After 202663 nodes, 21454 on tree, 1590 best solution, best possible 560 (7636.74 seconds)
Cbc0010I After 202697 nodes, 21452 on tree, 1590 best solution, best possible 560 (7637.44 seconds)
Cbc0010I After 202731 nodes, 21453 on tree, 1590 best solution, best possible 560 (7638.17 seconds)
Cbc0010I After 202766 nodes, 21453 on tree, 1590 best solution, best possible 560 (7638.88 seconds)
Cbc0010I After 202799 nodes, 21451 on tree, 1590 best solution, best possible 560 (7639.60 seconds)
Cbc0010I After 202830 nodes, 21452 on tree, 1590 best solution, best possible 560 (7640.31 seconds)
Cbc0010I After 202858 nodes, 21452 on tree, 1590 best solution, best possible 560 (7641.02 seconds)
Cbc0010I After 202885 nodes, 21451 on tree, 1590 best solution, best possible 560 (7641.73 seconds)
Cbc0010I After 202914 nodes, 21450 on tree, 1590 best solution, best possible 560 (7642.45 seconds)
Cbc0010I After 202944 nodes, 21453 on tree, 1590 best solution, best possible 560 (7643.15 seconds)
Cbc0010I After 202978 nodes, 21453 on tree, 1590 best solution, best possible 560 (7643.86 seconds)
Cbc0010I After 203011 nodes, 21445 on tree, 1590 best solution, best possible 560 (7644.59 seconds)
Cbc0010I After 203046 nodes, 21443 on tree, 1590 best solution, best possible 560 (7645.33 seconds)
Cbc0010I After 203086 nodes, 21445 on tree, 1590 best solution, best possible 560 (7646.04 seconds)
Cbc0010I After 203125 nodes, 21442 on tree, 1590 best solution, best possible 560 (7646.76 seconds)
Cbc0010I After 203159 nodes, 21443 on tree, 1590 best solution, best possible 560 (7647.47 seconds)
Cbc0010I After 203194 nodes, 21440 on tree, 1590 best solution, best possible 560 (7648.19 seconds)
Cbc0010I After 203226 nodes, 21446 on tree, 1590 best solution, best possible 560 (7648.90 seconds)
Cbc0010I After 203257 nodes, 21445 on tree, 1590 best solution, best possible 560 (7649.60 seconds)
Cbc0010I After 203288 nodes, 21444 on tree, 1590 best solution, best possible 560 (7650.33 seconds)
Cbc0010I After 203320 nodes, 21446 on tree, 1590 best solution, best possible 560 (7651.04 seconds)
Cbc0010I After 203352 nodes, 21444 on tree, 1590 best solution, best possible 560 (7651.77 seconds)
Cbc0010I After 203382 nodes, 21442 on tree, 1590 best solution, best possible 560 (7652.49 seconds)
Cbc0010I After 203410 nodes, 21442 on tree, 1590 best solution, best possible 560 (7653.21 seconds)
Cbc0010I After 203437 nodes, 21443 on tree, 1590 best solution, best possible 560 (7653.92 seconds)
Cbc0010I After 203465 nodes, 21443 on tree, 1590 best solution, best possible 560 (7654.63 seconds)
Cbc0010I After 203499 nodes, 21443 on tree, 1590 best solution, best possible 560 (7655.33 seconds)
Cbc0010I After 203532 nodes, 21444 on tree, 1590 best solution, best possible 560 (7656.04 seconds)
Cbc0010I After 203566 nodes, 21446 on tree, 1590 best solution, best possible 560 (7656.77 seconds)
Cbc0010I After 203596 nodes, 21445 on tree, 1590 best solution, best possible 560 (7657.48 seconds)
Cbc0010I After 203626 nodes, 21441 on tree, 1590 best solution, best possible 560 (7658.20 seconds)
Cbc0010I After 203656 nodes, 21442 on tree, 1590 best solution, best possible 560 (7658.92 seconds)
Cbc0010I After 203692 nodes, 21448 on tree, 1590 best solution, best possible 560 (7659.64 seconds)
Cbc0010I After 203723 nodes, 21452 on tree, 1590 best solution, best possible 560 (7660.35 seconds)
Cbc0010I After 203753 nodes, 21451 on tree, 1590 best solution, best possible 560 (7661.07 seconds)
Cbc0010I After 203784 nodes, 21452 on tree, 1590 best solution, best possible 560 (7661.78 seconds)
Cbc0010I After 203815 nodes, 21449 on tree, 1590 best solution, best possible 560 (7662.51 seconds)
Cbc0010I After 203847 nodes, 21453 on tree, 1590 best solution, best possible 560 (7663.22 seconds)
Cbc0010I After 203877 nodes, 21457 on tree, 1590 best solution, best possible 560 (7663.95 seconds)
Cbc0010I After 203910 nodes, 21458 on tree, 1590 best solution, best possible 560 (7664.67 seconds)
Cbc0010I After 203940 nodes, 21458 on tree, 1590 best solution, best possible 560 (7665.39 seconds)
Cbc0010I After 203971 nodes, 21457 on tree, 1590 best solution, best possible 560 (7666.12 seconds)
Cbc0010I After 204002 nodes, 21460 on tree, 1590 best solution, best possible 560 (7666.84 seconds)
Cbc0010I After 204030 nodes, 21457 on tree, 1590 best solution, best possible 560 (7667.56 seconds)
Cbc0010I After 204060 nodes, 21457 on tree, 1590 best solution, best possible 560 (7668.27 seconds)
Cbc0010I After 204093 nodes, 21455 on tree, 1590 best solution, best possible 560 (7668.98 seconds)
Cbc0010I After 204122 nodes, 21454 on tree, 1590 best solution, best possible 560 (7669.68 seconds)
Cbc0010I After 204150 nodes, 21453 on tree, 1590 best solution, best possible 560 (7670.41 seconds)
Cbc0010I After 204178 nodes, 21454 on tree, 1590 best solution, best possible 560 (7671.14 seconds)
Cbc0010I After 204207 nodes, 21455 on tree, 1590 best solution, best possible 560 (7671.86 seconds)
Cbc0010I After 204238 nodes, 21452 on tree, 1590 best solution, best possible 560 (7672.57 seconds)
Cbc0010I After 204269 nodes, 21452 on tree, 1590 best solution, best possible 560 (7673.29 seconds)
Cbc0010I After 204303 nodes, 21453 on tree, 1590 best solution, best possible 560 (7674.00 seconds)
Cbc0010I After 204337 nodes, 21454 on tree, 1590 best solution, best possible 560 (7674.72 seconds)
Cbc0010I After 204367 nodes, 21450 on tree, 1590 best solution, best possible 560 (7675.43 seconds)
Cbc0010I After 204398 nodes, 21457 on tree, 1590 best solution, best possible 560 (7676.15 seconds)
Cbc0010I After 204431 nodes, 21454 on tree, 1590 best solution, best possible 560 (7676.85 seconds)
Cbc0010I After 204461 nodes, 21453 on tree, 1590 best solution, best possible 560 (7677.57 seconds)
Cbc0010I After 204496 nodes, 21453 on tree, 1590 best solution, best possible 560 (7678.28 seconds)
Cbc0010I After 204527 nodes, 21453 on tree, 1590 best solution, best possible 560 (7678.99 seconds)
Cbc0010I After 204560 nodes, 21455 on tree, 1590 best solution, best possible 560 (7679.70 seconds)
Cbc0010I After 204593 nodes, 21455 on tree, 1590 best solution, best possible 560 (7680.42 seconds)
Cbc0010I After 204622 nodes, 21454 on tree, 1590 best solution, best possible 560 (7681.12 seconds)
Cbc0010I After 204658 nodes, 21453 on tree, 1590 best solution, best possible 560 (7681.83 seconds)
Cbc0010I After 204690 nodes, 21453 on tree, 1590 best solution, best possible 560 (7682.54 seconds)
Cbc0010I After 204721 nodes, 21452 on tree, 1590 best solution, best possible 560 (7683.25 seconds)
Cbc0010I After 204760 nodes, 21454 on tree, 1590 best solution, best possible 560 (7683.96 seconds)
Cbc0010I After 204792 nodes, 21454 on tree, 1590 best solution, best possible 560 (7684.67 seconds)
Cbc0010I After 204825 nodes, 21453 on tree, 1590 best solution, best possible 560 (7685.37 seconds)
Cbc0010I After 204858 nodes, 21452 on tree, 1590 best solution, best possible 560 (7686.08 seconds)
Cbc0010I After 204893 nodes, 21452 on tree, 1590 best solution, best possible 560 (7686.79 seconds)
Cbc0010I After 204928 nodes, 21455 on tree, 1590 best solution, best possible 560 (7687.50 seconds)
Cbc0010I After 204956 nodes, 21452 on tree, 1590 best solution, best possible 560 (7688.23 seconds)
Cbc0010I After 204984 nodes, 21454 on tree, 1590 best solution, best possible 560 (7688.96 seconds)
Cbc0010I After 205011 nodes, 21452 on tree, 1590 best solution, best possible 560 (7689.67 seconds)
Cbc0010I After 205043 nodes, 21453 on tree, 1590 best solution, best possible 560 (7690.40 seconds)
Cbc0010I After 205070 nodes, 21452 on tree, 1590 best solution, best possible 560 (7691.10 seconds)
Cbc0010I After 205098 nodes, 21452 on tree, 1590 best solution, best possible 560 (7691.82 seconds)
Cbc0010I After 205131 nodes, 21456 on tree, 1590 best solution, best possible 560 (7692.54 seconds)
Cbc0010I After 205164 nodes, 21456 on tree, 1590 best solution, best possible 560 (7693.27 seconds)
Cbc0010I After 205195 nodes, 21458 on tree, 1590 best solution, best possible 560 (7694.00 seconds)
Cbc0010I After 205222 nodes, 21455 on tree, 1590 best solution, best possible 560 (7694.71 seconds)
Cbc0010I After 205252 nodes, 21456 on tree, 1590 best solution, best possible 560 (7695.41 seconds)
Cbc0010I After 205281 nodes, 21454 on tree, 1590 best solution, best possible 560 (7696.12 seconds)
Cbc0010I After 205311 nodes, 21456 on tree, 1590 best solution, best possible 560 (7696.82 seconds)
Cbc0010I After 205342 nodes, 21454 on tree, 1590 best solution, best possible 560 (7697.53 seconds)
Cbc0010I After 205372 nodes, 21459 on tree, 1590 best solution, best possible 560 (7698.24 seconds)
Cbc0010I After 205406 nodes, 21457 on tree, 1590 best solution, best possible 560 (7698.96 seconds)
Cbc0010I After 205439 nodes, 21455 on tree, 1590 best solution, best possible 560 (7699.68 seconds)
Cbc0010I After 205467 nodes, 21462 on tree, 1590 best solution, best possible 560 (7700.38 seconds)
Cbc0010I After 205493 nodes, 21461 on tree, 1590 best solution, best possible 560 (7701.09 seconds)
Cbc0010I After 205520 nodes, 21461 on tree, 1590 best solution, best possible 560 (7701.80 seconds)
Cbc0010I After 205551 nodes, 21461 on tree, 1590 best solution, best possible 560 (7702.54 seconds)
Cbc0010I After 205582 nodes, 21454 on tree, 1590 best solution, best possible 560 (7703.24 seconds)
Cbc0010I After 205616 nodes, 21460 on tree, 1590 best solution, best possible 560 (7703.97 seconds)
Cbc0010I After 205647 nodes, 21455 on tree, 1590 best solution, best possible 560 (7704.70 seconds)
Cbc0010I After 205679 nodes, 21455 on tree, 1590 best solution, best possible 560 (7705.43 seconds)
Cbc0010I After 205708 nodes, 21454 on tree, 1590 best solution, best possible 560 (7706.14 seconds)
Cbc0010I After 205736 nodes, 21455 on tree, 1590 best solution, best possible 560 (7706.85 seconds)
Cbc0010I After 205761 nodes, 21452 on tree, 1590 best solution, best possible 560 (7707.55 seconds)
Cbc0010I After 205791 nodes, 21454 on tree, 1590 best solution, best possible 560 (7708.27 seconds)
Cbc0010I After 205825 nodes, 21451 on tree, 1590 best solution, best possible 560 (7708.98 seconds)
Cbc0010I After 205856 nodes, 21456 on tree, 1590 best solution, best possible 560 (7709.70 seconds)
Cbc0010I After 205886 nodes, 21455 on tree, 1590 best solution, best possible 560 (7710.41 seconds)
Cbc0010I After 205917 nodes, 21451 on tree, 1590 best solution, best possible 560 (7711.13 seconds)
Cbc0010I After 205946 nodes, 21452 on tree, 1590 best solution, best possible 560 (7711.83 seconds)
Cbc0010I After 205979 nodes, 21453 on tree, 1590 best solution, best possible 560 (7712.56 seconds)
Cbc0010I After 206011 nodes, 21452 on tree, 1590 best solution, best possible 560 (7713.28 seconds)
Cbc0010I After 206038 nodes, 21455 on tree, 1590 best solution, best possible 560 (7713.98 seconds)
Cbc0010I After 206068 nodes, 21455 on tree, 1590 best solution, best possible 560 (7714.69 seconds)
Cbc0010I After 206097 nodes, 21454 on tree, 1590 best solution, best possible 560 (7715.40 seconds)
Cbc0010I After 206124 nodes, 21453 on tree, 1590 best solution, best possible 560 (7716.12 seconds)
Cbc0010I After 206150 nodes, 21451 on tree, 1590 best solution, best possible 560 (7716.83 seconds)
Cbc0010I After 206179 nodes, 21451 on tree, 1590 best solution, best possible 560 (7717.55 seconds)
Cbc0010I After 206214 nodes, 21453 on tree, 1590 best solution, best possible 560 (7718.27 seconds)
Cbc0010I After 206247 nodes, 21453 on tree, 1590 best solution, best possible 560 (7718.97 seconds)
Cbc0010I After 206278 nodes, 21454 on tree, 1590 best solution, best possible 560 (7719.68 seconds)
Cbc0010I After 206313 nodes, 21455 on tree, 1590 best solution, best possible 560 (7720.40 seconds)
Cbc0010I After 206345 nodes, 21456 on tree, 1590 best solution, best possible 560 (7721.11 seconds)
Cbc0010I After 206374 nodes, 21454 on tree, 1590 best solution, best possible 560 (7721.83 seconds)
Cbc0010I After 206405 nodes, 21453 on tree, 1590 best solution, best possible 560 (7722.54 seconds)
Cbc0010I After 206439 nodes, 21455 on tree, 1590 best solution, best possible 560 (7723.24 seconds)
Cbc0010I After 206474 nodes, 21455 on tree, 1590 best solution, best possible 560 (7723.96 seconds)
Cbc0010I After 206509 nodes, 21451 on tree, 1590 best solution, best possible 560 (7724.66 seconds)
Cbc0010I After 206535 nodes, 21453 on tree, 1590 best solution, best possible 560 (7725.39 seconds)
Cbc0010I After 206567 nodes, 21453 on tree, 1590 best solution, best possible 560 (7726.10 seconds)
Cbc0010I After 206601 nodes, 21452 on tree, 1590 best solution, best possible 560 (7726.81 seconds)
Cbc0010I After 206633 nodes, 21450 on tree, 1590 best solution, best possible 560 (7727.51 seconds)
Cbc0010I After 206661 nodes, 21449 on tree, 1590 best solution, best possible 560 (7728.22 seconds)
Cbc0010I After 206696 nodes, 21454 on tree, 1590 best solution, best possible 560 (7728.93 seconds)
Cbc0010I After 206735 nodes, 21450 on tree, 1590 best solution, best possible 560 (7729.64 seconds)
Cbc0010I After 206770 nodes, 21452 on tree, 1590 best solution, best possible 560 (7730.36 seconds)
Cbc0010I After 206805 nodes, 21455 on tree, 1590 best solution, best possible 560 (7731.07 seconds)
Cbc0010I After 206840 nodes, 21457 on tree, 1590 best solution, best possible 560 (7731.78 seconds)
Cbc0010I After 206874 nodes, 21454 on tree, 1590 best solution, best possible 560 (7732.51 seconds)
Cbc0010I After 206909 nodes, 21455 on tree, 1590 best solution, best possible 560 (7733.23 seconds)
Cbc0010I After 206946 nodes, 21454 on tree, 1590 best solution, best possible 560 (7733.95 seconds)
Cbc0010I After 206985 nodes, 21457 on tree, 1590 best solution, best possible 560 (7734.66 seconds)
